Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,0.616533612,G$/GWp,262800,h,PVOUT,24,0,1.1680339,GWp,SG
1,0.616533612,G$/GWp,262800,h,PVOUT,24,0,2586.60607,GWp,ID
2,0.616533612,G$/GWp,262800,h,PVOUT,24,0,1793.435667,GWp,MY
3,0.616533612,G$/GWp,262800,h,PVOUT,24,0,5.02455,GWp,BN
4,0.616533612,G$/GWp,262800,h,PVOUT,24,0,861.0985033,GWp,KH
5,0.616533612,G$/GWp,262800,h,PVOUT,24,0,100,GWp,MM
6,0.616533612,G$/GWp,262800,h,PVOUT,24,0,226.2988,GWp,PH
7,0.616533612,G$/GWp,262800,h,PVOUT,24,0,790.7109033,GWp,TH
8,0.616533612,G$/GWp,262800,h,PVOUT,24,0,2915.533,GWp,VN
9,0.616533612,G$/GWp,262800,h,PVOUT,24,0,1341.273237,GWp,LA
10,0.616533612,G$/GWp,262800,h,PVOUT,24,0,1.00E+04,GWp,AU
11,0.616533612,G$/GWp,262800,h,PVOUT,24,0,1.00E+04,GWp,SA
12,0.616533612,G$/GWp,262800,h,PVOUT,24,0,1.00E+04,GWp,IN
13,0.616533612,G$/GWp,262800,h,PVOUT,24,0,1.00E+04,GWp,AE
14,0.616533612,G$/GWp,262800,h,PVOUT,24,0,0.788,GWp,MA
15,0.616533612,G$/GWp,262800,h,PVOUT,24,0,0.716,GWp,KE
16,0.616533612,G$/GWp,262800,h,PVOUT,24,0,11.328,GWp,ZA
17,0.616533612,G$/GWp,262800,h,PVOUT,24,0,54.092,GWp,KR
18,0.616533612,G$/GWp,262800,h,PVOUT,24,0,3.672,GWp,EG
19,0.616533612,G$/GWp,262800,h,PVOUT,24,0,6364,GWp,NG
20,0.616533612,G$/GWp,262800,h,PVOUT,24,0,57556,GWp,BR
21,0.616533612,G$/GWp,262800,h,PVOUT,24,0,6012,GWp,CO
22,0.616533612,G$/GWp,262800,h,PVOUT,24,0,2822,GWp,PE
23,0.616533612,G$/GWp,262800,h,PVOUT,24,0,4528,GWp,CL