Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,location_name
0,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,SG
1,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,665.9556,GWp,ID
2,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,100.2662,GWp,MY
3,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,0.2848,GWp,BN
4,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,106.725,GWp,KH
5,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,100,GWp,MM
6,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,170.6562,GWp,PH
7,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,411.8312,GWp,TH
8,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,208.0272,GWp,VN
9,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,129.1306,GWp,LA
10,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1.00E+03,GWp,AU
11,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1.00E+03,GWp,SA
12,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1.00E+03,GWp,IN
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1.00E+03,GWp,AE
14,1.20773193,G$/GWp,219000,h,WINDOUT,24,0,164.5295,GWp,MA
15,1.1657703,G$/GWp,219000,h,WINDOUT,24,0,199.116,GWp,KE
16,1.22186115,G$/GWp,219000,h,WINDOUT,24,0,548.6215,GWp,ZA
17,1.26630354,G$/GWp,262800,h,WINDOUT,24,0,20.846,GWp,KR
18,1.09683218,G$/GWp,219000,h,WINDOUT,24,0,473.1215,GWp,EG
19,1.16577258,G$/GWp,219000,h,WINDOUT,24,0,459.7565,GWp,NG
20,1.053949218,G$/GWp,262800,h,WINDOUT,24,0,1290.851,GWp,BR
21,1.16822329,G$/GWp,262800,h,WINDOUT,24,0,329.6935,GWp,CO
22,1.16822425,G$/GWp,262800,h,WINDOUT,24,0,127.736,GWp,PE
23,1.150142583,G$/GWp,262800,h,WINDOUT,24,0,125.291,GWp,CL
24,0.97032,G$/GWp,262800,h,WINDOUT,24,0,,GWp,MZ