Location,lat,lon,location_name
0,1.28057,103.86515,SG
1,-6.16065,106.92865,ID
2,3.15839,101.68596,MY
3,4.8928,114.92675,BN
4,11.53412,104.9155,KH
5,16.8886,96.1656,MM
6,14.59466,120.98968,PH
7,13.78118,100.58329,TH
8,10.76226,106.62206,VN
9,17.97899,102.63012,LA
10,-20.73402,116.83925,AU
11,26.41963,50.10169,SA
12,13.12489,80.28511,IN
13,25.2048,56.32768,AE
14,34.06922,-6.82449,MA
15,36.73913,3.13915,DZ
16,36.81932,10.17512,TN
17,32.88968,13.18972,LY
18,30.04716,31.23681,EG
19,6.51849,3.37778,NG
20,-15.793889,-47.88209,BR
21,4.84121,-74.06554,CO
22,-12.05371,-77.03313,PE
23,-33.43921,-70.6658,CL